name,link_url,image_url,unique_id,manufacturer_id
Palindrome Single Finish,https://rbw.com/products/palindrome-single-finish/8-pf13-27-1_triac_120v,no image available,PD-8-PF13-27-1_TRIAC_120V,1530
Pastille 1 Collar,https://rbw.com/products/pastille-1-collar/d-pc30-27-10_triac_120v-ip20,no image available,PAS-1S-D-PC30-27-10_TRIAC_120V-IP20,1530
Pastille 1 Collar Corded,https://rbw.com/products/pastille-1-collar-corded/f-pc31-27-cts_120v-ip20,https://rbw.imgix.net/products/pastille-1-collar-corded/pdp/PAS-1S-C_F_PC31_27_CTS_120V.jpg,PAS-1S-C-F-PC31-27-CTS_120V-IP20,1530
Pastille 1 Disc,https://rbw.com/products/pastille-1-disc/d-pc42-27-10_triac_120v-ip20,no image available,PAS-1D-D-PC42-27-10_TRIAC_120V-IP20,1530
Pastille 1 Disc Corded,https://rbw.com/products/pastille-1-disc-corded/d-pf13-27-cts_120v-ip20,https://rbw.imgix.net/products/pastille-1-disc-corded/pdp/PAS-1D-C_D_PF13_27_CTS_120V.jpg,PAS-1D-C-D-PF13-27-CTS_120V-IP20,1530
Pastille 1 Wayfind,https://rbw.com/products/pastille-1-wayfind/d-pc31-27-10_triac_120v-ip20,no image available,PAS-1W-D-PC31-27-10_TRIAC_120V-IP20,1530
Pastille 1 Wayfind Corded,https://rbw.com/products/pastille-1-wayfind-corded/d-pc25-27-cts_120v-ip20,https://rbw.imgix.net/products/pastille-1-wayfind-corded/pdp/PAS-1W-C_D_PC25_27_CTS_120V.jpg,PAS-1W-C-D-PC25-27-CTS_120V-IP20,1530
Pastille 3 Cluster,https://rbw.com/products/pastille-3-cluster/ddd-pc25-27-10_triac_120v-ip20,no image available,PAS-3C-DDD-PC25-27-10_TRIAC_120V-IP20,1530
Pastille 3 Vanity,https://rbw.com/products/pastille-3-vanity/ddd-pf13-27-10_triac_120v-ip20,no image available,PAS-3V-DDD-PF13-27-10_TRIAC_120V-IP20,1530
Phase,https://rbw.com/products/phase/aa04-27-10_triac_120v-ip20,https://rbw.imgix.net/products/phase/pdp/RGP-1_AA04_OFF.jpg,RGP-1-AA04-27-10_TRIAC_120V-IP20,1530
Phase Corded,https://rbw.com/products/phase-corded/aa04-27-cts_120v-ip20,https://rbw.imgix.net/products/phase-corded/pdp/RGP-C-1_AA04_27_CTS_120V.jpg,RGP-C-1-AA04-27-CTS_120V-IP20,1530
Pilot 1 tier,https://rbw.com/products/pilot-1-tier/3ss-pf14-27-1_triac_120v,no image available,PT-3SS-PF14-27-1_TRIAC_120V,1530
Pilot 2 tier,https://rbw.com/products/pilot-2-tier/8a2-pc36-27-1_triac_120v,no image available,PT-8A2-PC36-27-1_TRIAC_120V,1530
Pilot 3 tier,https://rbw.com/products/pilot-3-tier/8a3-pc31-27-1_triac_120v,no image available,PT-8A3-PC31-27-1_TRIAC_120V,1530
Pilot 5 tier,https://rbw.com/products/pilot-5-tier/16a5-pc20-27-1_triac_120v,no image available,PT-16A5-PC20-27-1_TRIAC_120V,1530
Pilot Sconce 1 Head,https://rbw.com/products/pilot-sconce-1-head/1m-pc30-27-10_triac_120v,no image available,PTS-1M-PC30-27-10_TRIAC_120V,1530
