name,description,link_url,image_url,manufacturer_id
60″W Covina Inverted Pendant | 178178,"Revealing an elegant transitional element for sophisticated interior decor, Covina features Sahara Taupe Idalight with a stunning marble look. The diffuser is embraced with a frame, decorative accents and hardware in a handsome Corinth finish. The fixture creates soothing illumination for any interior, from a conference room to a hotel lobby to a residential dining room. Handcrafted in the USA, this pendant is available in custom sizes, styles and finishes. Dimmable energy efficient lamping options such as LED are available. Covina is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-covina-inverted-pendant-178178/,https://2ndave.com/wp-content/uploads/2022/12/178178.jpg,1261
60″W Covina LED Inverted Pendant | 147712,"Revealing an elegant transitional element for sophisticated interior decor, Covina features Sahara Taupe Idalight. The diffuser is embraced with a frame, decorative accents and hardware in a handsome Corinth finish. The fixture creates soothing illumination for any interior, from a conference room to a hotel lobby to a residential dining room. Handcrafted in the USA, this pendant is available in custom sizes, styles and finishes. Dimmable energy efficient lamping options such as LED are available. This custom pendant is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-covina-led-inverted-pendant-147712/,https://2ndave.com/wp-content/uploads/2022/12/147712.jpg,1261
60″W Cretella 36 LT Three Tier Chandelier | 188858,"An elaborate lighting design created with detailed intricacy and powerful illumination. This magnificent, upscale chandelier features three curvaceous tiers embracing 36 exquisite Hand painted Beige Fluted Glass shades like sprouting Bell shaded flowers from beautiful shrubbery. This masterful chandelier is ideal for lobbies, foyers, banquet rooms and reception areas. Custom crafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York, this Grandiose styled 5-foot wide fixture is available in custom sizes, designs and finishes are available, as well as dimmable energy efficient lamping options such as LED. The elegant chandelier is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-cretella-36-lt-three-tier-chandelier-188858-2/,https://2ndave.com/wp-content/uploads/2022/12/188858.jpg,1261
60″W Cretella 72 LT Six Tier Chandelier | 188855,"An elaborate lighting design created with detailed intricacy and powerful illumination. This magnificent, upscale chandelier features 6 curvaceous tiers embracing 72 Handpainted Cream Fluted Glass shades. The overall height of this pendant ranges from 99 to 195 inches as the chain length can be easily adjusted in the field to accommodate your specific lighting application needs. This frame and hardware are featured in a Solar Black powder coat finish. Ideal for lobbies, foyers, banquet rooms and reception areas. Custom crafted in our 180,000 square foot manufacturing facility in Yorkville, NY. Special sizes and finishes available. Dimmable energy efficient lamping options offered. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-cretella-72-lt-six-tier-chandelier-188855/,https://2ndave.com/wp-content/uploads/2022/12/188855.jpg,1261
60″W Cyclone 36 LT Chandelier | 172410,"The bold, eye-catching Cyclone simulates whirling winds of energy and gyration with twisting steel that is accentuated with 36 delicately placed beacons to help you weather the storm. The winding mass of steel surrounds a sturdy post, all featured in our Pewter finish. Make an impressive design statement that will wow guests in lobbies, conference rooms, entryways and other residential and commercial spaces. The fixture is handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom styles, sizes and colors are available, as well as dimmable energy efficient lamping. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-cyclone-36-lt-chandelier-172410-2/,https://2ndave.com/wp-content/uploads/2022/12/172410.jpg,1261
60″W Dean Flushmount | 128881,"A touch of warm opulence is blended with elegant scroll-like styling. This ceiling fixture offers a lovely transitional style, which is handcrafted with decorative accents and hardware featured in a stunning Autumn Leaf finish. The impressive Dean fixture integrates a Sahara Taupe Idalight diffuser, which projects beautiful ambient illumination. Handcrafted in our 180,000 square foot manufacturing facility in Yorkville New York. This Grand styled fixture is available in custom sizes, styles, colors and dimmable energy efficient lamping such as LED. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-dean-flushmount-128881/,https://2ndave.com/wp-content/uploads/2022/12/128881.jpg,1261
60″W Dean Inverted Pendant | 142134,"A touch of warm opulence and grandiose styling is blended with elegant scroll-like styling. This pendant offers a lovely transitional style, which is handcrafted with decorative accents and hardware featured in a stunning Cortez Goldfinish. The Dean fixture highlights a Tawnyrock Idalight diffuser, which is enhanced with beautiful ambient illumination. Custom crafted in the USA, this impressive fixture is available in custom sizes, styles, colors and dimmable energy efficient lamping such as LED. The 60-inch pendant is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-dean-inverted-pendant-142134/,https://2ndave.com/wp-content/uploads/2022/12/142134.jpg,1261
60″W Deina 28 LT Chandelier | 137662,"Create a warming, welcoming effect with this distinctive fixture for an entryway, grand dining room or lobby. This exquisite chandelier features the charm of 28 Faux Amber Candlelights paired with the strength of a solid steel ring shaped frame featured in a Smoke finish. Custom crafted by artisans at our manufacturing facility in the USA, this fixture is available in custom colors, styles and sizes,as well as dimmable, energy efficient lamping. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-deina-28-lt-chandelier-137662/,https://2ndave.com/wp-content/uploads/2022/12/137662.jpg,1261
60″W Estrella 24 LT Three Tier Chandelier | 115255,"Exquisite grace and delicate beauty are blended to create a distinctive, elegant Grand Chandelier. A total of 24 Amber faux candlelights, each perched on a bobeche and scrolled arm, adorn three tiers of this luxurious chandelier. The decorative accents and hardware are offered in an alluring Gilded Tobacco finish. Perfect for a large entryway, lobby, banquet hall or conference room, this chandelier is available in a variety of finishes, styles, sizes and dimmable energy efficient lamping options such s LED. Custom crafted in the USA, Estrella is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-estrella-24-lt-three-tier-chandelier-115255/,https://2ndave.com/wp-content/uploads/2022/12/115255X10-2.jpg,1261
60″W Estrella 24 LT Three Tier Chandelier | 151278,"Exquisite grace and delicate beauty are blended to create a distinctive, elegant Grand Chandelier. A total of 24 Amber faux candlelights, each embracing a bobeche and scrolled arm, adorn three tiers of this luxurious chandelier. The decorative accents and hardware are offered in an alluring Antique Iron Gate finish. Perfect for a large entryway, lobby, banquet hall or conference room, this chandelier is available in a variety of finishes, styles, sizes and dimmable energy efficient lamping options such as LED. Custom crafted in the USA, Estrella is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-estrella-24-lt-three-tier-chandelier-151278/,https://2ndave.com/wp-content/uploads/2022/12/151278.jpg,1261
